action_loss,adam_exp_avg_rms,adam_exp_avg_sq_max,adam_exp_avg_sq_mean,adam_exp_avg_sq_rms,adam_state_numel,lr,step,variant
0.16132554411888123,2.0741185776407526e-06,0.00014778641343582422,7.97573858773353e-11,1.31561530012165e-08,3248572176.0,6.835871301119128e-06,675,baseline_resume
0.15304678678512573,2.2126902330730096e-06,0.00017588750051800162,8.171288362564447e-11,1.2856000419083518e-08,3248572176.0,6.0393170851456236e-06,700,baseline_resume
0.14149616658687592,1.8989298218433926e-06,0.00017223806935362518,7.75853879920505e-11,1.2418073231247405e-08,3248572176.0,5.286548683761527e-06,725,baseline_resume
0.15318797528743744,2.2504902138489547e-06,0.00020326302910689265,8.987986234850423e-11,1.3272210448163993e-08,3248572176.0,4.582301347524142e-06,750,baseline_resume
0.18341554701328278,2.070045879225673e-06,0.00023725454229861498,8.188289959548738e-11,1.3800596471152056e-08,3248572176.0,3.931005107748902e-06,775,baseline_resume
0.14364950358867645,2.3590389425324117e-06,0.00016178291116375476,8.006682173843443e-11,1.20536099020222e-08,3248572176.0,3.3367569096272963e-06,800,baseline_resume
0.16116967797279358,2.1637618813278704e-06,0.00019377820717636496,8.158472840415055e-11,1.3537533308912134e-08,3248572176.0,2.8032948406058287e-06,825,baseline_resume
0.18296650052070618,2.080244988162829e-06,0.0001518906792625785,8.712224302303388e-11,1.3357180652883835e-08,3248572176.0,2.3339746161409194e-06,850,baseline_resume
0.13378965854644775,2.0264643533253845e-06,0.00014061492402106524,7.71929699077765e-11,1.233273091160524e-08,3248572176.0,1.9317484707450247e-06,875,baseline_resume
0.1478627622127533,1.962049229594213e-06,0.0001229603949468583,7.826490068664231e-11,1.1579396090627972e-08,3248572176.0,1.599146587108656e-06,900,baseline_resume
0.13371340930461884,2.0866116164533687e-06,0.00015945658378768712,8.246418470757012e-11,1.3061262398596362e-08,3248572176.0,1.3382611801175002e-06,925,baseline_resume
0.16083066165447235,1.9892793561896386e-06,0.0001736937410896644,8.021536898311528e-11,1.2687441429292154e-08,3248572176.0,1.1507333358832683e-06,950,baseline_resume
0.15779292583465576,2.412401457897739e-06,0.00012758666707668453,8.279793253009096e-11,1.2045505123958013e-08,3248572176.0,1.0377426885766925e-06,975,baseline_resume
0.1339544802904129,2.210397552695867e-06,0.00021419925906229764,8.303988313610153e-11,1.305934424145566e-08,3248572176.0,1e-06,1000,baseline_resume
0.1714552640914917,2.0732987468021567e-06,0.00018088609795086086,7.017116382825982e-11,1.5034351759992868e-08,3248572176.0,1.9487689809467175e-05,325,standard_powersgd_plus
0.16326427459716797,2.2047481056651557e-06,0.0012875702232122421,8.667208163891939e-11,3.644176604462441e-08,3248572176.0,1.8667252897272195e-05,350,standard_powersgd_plus
0.1489061415195465,2.4363726734330443e-06,0.0006445382023230195,9.651950554266861e-11,2.587810706462276e-08,3248572176.0,1.7811166424879367e-05,375,standard_powersgd_plus
0.1826474964618683,2.4825874493226025e-06,0.0005465128342621028,1.0282547292898639e-10,2.324749631607964e-08,3248572176.0,1.692481555980906e-05,400,standard_powersgd_plus
0.18789128959178925,2.325888478209812e-06,0.00041060111834667623,9.614004815802931e-11,2.0083843236604505e-08,3248572176.0,1.6013775846172952e-05,425,standard_powersgd_plus
0.1539614200592041,2.3068481902415604e-06,0.00021854627993889153,9.09302552954164e-11,1.7599828673432347e-08,3248572176.0,1.5083778132003167e-05,450,standard_powersgd_plus
0.17568090558052063,2.5700007073004376e-06,0.00038888349081389606,1.00601860228819e-10,2.0389184960004204e-08,3248572176.0,1.4140672519650192e-05,475,standard_powersgd_plus
0.1738692671060562,2.649397226330048e-06,0.00021555380953941494,1.0308847335570408e-10,1.882360798336472e-08,3248572176.0,1.3190391566017695e-05,500,standard_powersgd_plus
0.16721053421497345,2.2002277839366027e-06,0.00024092041712719947,9.949814291439817e-11,1.7162988466319225e-08,3248572176.0,1.2238912964121226e-05,525,standard_powersgd_plus
0.1510406881570816,2.6037209924521865e-06,0.00018370046745985746,1.0021809681310271e-10,1.7360963197864372e-08,3248572176.0,1.1292221940720579e-05,550,standard_powersgd_plus
